,Case Number,תאריך,סוג מסמך,מספר עמודים,HTML_Link
2,8027/18,20/05/2020,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/270/080/m15&fileName=18080270.M15&type=2
3,8027/18,01/04/2020,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/270/080/m14&fileName=18080270.M14&type=2
4,8027/18,18/03/2020,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/270/080/m13&fileName=18080270.M13&type=2
5,8027/18,23/02/2020,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/270/080/m12&fileName=18080270.M12&type=2
6,8027/18,30/01/2020,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/270/080/m11&fileName=18080270.M11&type=2
7,8027/18,25/11/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/270/080/m10&fileName=18080270.M10&type=2
8,8027/18,23/09/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/270/080/m07&fileName=18080270.M07&type=2
9,8027/18,28/08/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/270/080/s06&fileName=18080270.S06&type=2
10,8027/18,06/03/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/270/080/e05&fileName=18080270.E05&type=2
11,8027/18,10/01/2019,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/270/080/e03&fileName=18080270.E03&type=2
12,8027/18,12/11/2018,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/18/270/080/e01&fileName=18080270.E01&type=2
0,1826/20,21/06/2020,החלטה,7,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/20/260/018/r05&fileName=20018260.R05&type=2
1,1826/20,23/04/2020,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/20/260/018/s04&fileName=20018260.S04&type=2
2,1826/20,31/03/2020,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/20/260/018/r03&fileName=20018260.R03&type=2
3,1826/20,24/03/2020,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/20/260/018/s02&fileName=20018260.S02&type=2
4,1826/20,09/03/2020,החלטה,2,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/20/260/018/r01&fileName=20018260.R01&type=2
0,3008/20,21/06/2020,פסק-דין,2,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/20/080/030/e02&fileName=20030080.E02&type=2
1,3008/20,12/05/2020,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/20/080/030/s01&fileName=20030080.S01&type=2
0,3008/20,21/06/2020,פסק-דין,2,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/20/080/030/e02&fileName=20030080.E02&type=2
1,3008/20,12/05/2020,החלטה,1,https://supremedecisions.court.gov.il/Home/Download?path=HebrewVerdicts/20/080/030/s01&fileName=20030080.S01&type=2
